id,title,body,created_at,updated_at,status,user_id,image
1,"HAPPY TEACHER'S DAY",Thanks for all your giving during the last time at WATA and your effort for Tech Hub,2021-11-25 05:58:11.412142,2021-11-26 10:28:34.842146,archived,23,259619859_1969124803261921_2324613940825805483_n.jpeg
2,Chuyên mục: CHUYỆN NGƯỜI TRONG NGHỀ - IT LIFE WITH WATA,Series hỏi đáp và chia sẻ của các IT-ers về ngành nghề cũng như cảm nhận của các nhân viên khi làm việc tại công ty. ,2021-11-25 06:00:40.866962,2021-11-26 10:27:50.195446,public,23,242279374_1924308737743528_8540122113123231539_n.png
5,"HAPPY VIETNAMESE WOMEN'S DAY", Thank you for motivating us through your work and personality. Happy Women’s Day,2021-11-26 01:45:57.739396,2021-11-26 10:22:25.571542,public,22,245934414_1943694552471613_4165471691454490017_n.jpeg
6,HOT JOB - HOT REFERRAL BONUS,WATA hiện đang cần chiêu mộ thêm thật nhiều Chiến binh gia nhập vào đội quân tinh nhuệ,2021-11-26 01:46:01.879850,2021-11-26 10:23:03.032096,public,22,241533683_1944665429041192_4673978387091101080_n.png
7,title 7 hoangvanhoa2,text text text text text ,2021-11-26 01:46:07.812855,2021-11-26 10:38:11.729537,public,22,1BE1C71E-D8E1-46A9-AE91-490FDFF2AD93.jpg
8,Title hoangvanhoa2@gmail.com ,Body hoangvanhoa2@gmail.com ,2021-11-26 06:41:29.337628,2021-11-26 06:41:29.337628,public,22,
9,title 1,content content content content content content ,2021-11-26 08:16:58.746309,2021-11-26 08:16:58.746309,public,22,
10,title 1,Body Body Body Body Body,2021-11-26 08:19:49.172759,2021-11-26 08:19:49.172759,public,22,
11,title 1,BodyBodyBodyBodyBodyBody,2021-11-26 08:28:13.125663,2021-11-26 08:28:13.125663,public,22,
12,123,12312312312,2021-11-26 08:35:51.710231,2021-11-26 08:35:51.710231,public,22,
13,title 1,Body Body Body Body Body Body,2021-11-26 09:27:40.262145,2021-11-26 09:27:40.262145,public,22,721D2AAD-CC66-467B-8A4F-6E8B99D2984D.jpg
14,title 1,Body Body Body Body Body Body,2021-11-26 09:28:48.509946,2021-11-26 09:28:48.509946,public,22,721D2AAD-CC66-467B-8A4F-6E8B99D2984D.jpg
15,title 2,Body Body Body Body Body Body Body Body Body,2021-11-26 10:06:53.822566,2021-11-26 10:06:53.822566,public,22,1BE1C71E-D8E1-46A9-AE91-490FDFF2AD93.jpg
